Ref,Val,Package,PosX,PosY,Rot,Side
"SW36","SW_Push","SW_MX_HE_0deg_1u",238.137000,-105.150000,0.000000,top
"SW37","SW_Push","SW_MX_HE_0deg_1u",79.787000,-46.150000,0.000000,top
"SW38","SW_Push","SW_MX_HE_0deg_1u",98.837000,-67.650000,0.000000,top
"SW39","SW_Push","SW_MX_HE_0deg_1u",98.837000,-86.700000,0.000000,top
"SW40","SW_Push","SW_MX_HE_0deg_1u",98.837000,-105.750000,0.000000,top
"SW41","SW_Push","SW_MX_HE_0deg_1u",180.987000,-128.300000,0.000000,top
"SW42","SW_Push","SW_MX_HE_0deg_1u",98.837000,-124.800000,0.000000,top
"SW51","SW_Push","SW_MX_HE_0deg_1u",257.187000,-52.100000,0.000000,top
"SW52","SW_Push","SW_MX_HE_0deg_1u",257.187000,-71.150000,0.000000,top
"SW53","SW_Push","SW_MX_HE_0deg_1u",257.187000,-90.200000,0.000000,top
"SW54","SW_Push","SW_MX_HE_0deg_1u",257.187000,-109.250000,0.000000,top
"SW55","SW_Push","SW_MX_HE_0deg_1u",200.037000,-124.700000,0.000000,top
"SW56","SW_Push","SW_MX_HE_0deg_1u",98.837000,-48.600000,0.000000,top
"SW57","SW_Push","SW_MX_HE_0deg_1u",117.887000,-71.150000,0.000000,top
"SW58","SW_Push","SW_MX_HE_0deg_1u",117.887000,-90.200000,0.000000,top
"SW59","SW_Push","SW_MX_HE_0deg_1u",117.887000,-109.250000,0.000000,top
"SW60","SW_Push","SW_MX_HE_0deg_1u",117.887000,-128.300000,0.000000,top
"SW61","SW_Push","SW_MX_HE_0deg_1u",276.237000,-52.100000,0.000000,top
"SW62","SW_Push","SW_MX_HE_0deg_1u",276.237000,-71.150000,0.000000,top
"SW63","SW_Push","SW_MX_HE_0deg_1u",276.237000,-90.200000,0.000000,top
"SW64","SW_Push","SW_MX_HE_0deg_1u",276.237000,-109.250000,0.000000,top
"SW65","SW_Push","SW_MX_HE_0deg_1u",259.505000,-128.300000,0.000000,top
"SW66","SW_Push","SW_MX_HE_0deg_1u",117.887000,-52.100000,0.000000,top
"SW67","SW_Push","SW_MX_HE_0deg_1u",136.937000,-71.150000,0.000000,top
"SW68","SW_Push","SW_MX_HE_0deg_1u",136.937000,-90.200000,0.000000,top
"SW69","SW_Push","SW_MX_HE_0deg_1u",136.937000,-109.250000,0.000000,top
"SW70","SW_Push","SW_MX_HE_0deg_1u",136.937000,-128.300000,0.000000,top
